AccountID,Territory,Country,CustomerTenure,PhoneModel,RepeatCustomer,Promotion,CurrentPeriodUsage,PriorPeriodUsage,BaseFee,AdditionalFeatureSpend,NumberOfPenalties,CustomerServiceRating,CustomerServiceCalls,DaysSinceCSContact,PlanType,Cancelled
aa16887,RI,USA,97,,yes,no,210.1,211.7,33.52,18,4,8.3,4,115,Purple Plan,
aa33376,SC,USA,110,,no,no,241,221.2,28.61,19,1,12.5,1,73,Red Plan,
aa57561,NJ,USA,104,,no,yes,220,89.7,24.89,8,2,15.6,4,103,Purple Plan,
ab45280,OH,USA,102,,no,yes,244.1,168.8,27.15,14,3,9.6,9,113,Purple Plan,
ab64231,NC,USA,84,iPhone,no,no,206.4,270.8,31.84,23,1,10.1,5,95,Green Plan,
ab77185,MS,USA,107,,no,no,218.7,112.5,24.62,10,1,13.8,3,66,Purple Plan,
ab91714,AL,USA,104,,no,yes,191,143.4,21.78,12,1,11.6,3,127,Purple Plan,
ac12327,OK,USA,121,,no,no,174.9,189.3,24.4,16,3,8.8,5,111,Green Plan,
ac30783,NV,USA,69,Galaxy,yes,no,190.6,285.9,25.5,24,0,9.4,15,73,Purple Plan,
ac64485,ID,USA,116,,no,yes,228.2,266.2,29.29,23,1,11.8,5,91,Purple Plan,
ac85629,MD,USA,95,,no,no,260.1,151.9,36.36,13,3,12.2,5,70,Purple Plan,
ac86031,MI,USA,86,Galaxy,no,no,259,222.4,53.4,19,3,12.3,5,99,Purple Plan,
ac89116,MI,USA,100,,no,no,119.2,317.2,28.05,27,1,8.3,8,83,Purple Plan,
ac93892,NV,USA,85,Galaxy,no,yes,246.8,150.1,19.72,13,1,12,2,120,Purple Plan,
ad26775,SD,USA,130,,no,no,141.7,192.7,41.74,16,1,9.1,4,54,Purple Plan,
ad55884,SC,USA,93,,no,yes,165.7,238.3,30.45,20,2,10.6,1,102,Blue Plan,
ad65026,ND,USA,100,,yes,no,168.9,242.9,37.25,21,2,10.1,4,90,Purple Plan,
ae36813,AK,USA,95,,no,no,204,205.1,30.86,17,2,14.7,9,88,Green Plan,
ae75563,IA,USA,81,Galaxy,no,no,230.2,287.3,26.1,24,2,6.5,5,115,Purple Plan,
af33420,KS,USA,140,,no,yes,267.9,224.1,36.72,19,0,11.8,4,69,Purple Plan,
af47266,WI,USA,122,,no,yes,104.8,101.3,11.75,9,0,9.1,4,136,Red Plan,
af52839,SD,USA,119,,no,no,190.7,142,28.53,12,2,7.3,4,123,Green Plan,
af67658,MO,USA,124,,no,no,217.1,146.9,30.35,12,1,9.9,7,141,Purple Plan,
